Index | OID        | Off=0    | Off=1    | Off=2    | Off=3    | Off=4    | Off=5    | Off=6    | Off=7    | Off=8    | Off=9    | Off=10   | Off=11   | Off=12   | Off=13   | Off=14   | Off=15   | Off=16   | Off=17   | Off=18   | Off=19  
92    | 1006166   | f48r     | f47v     | f47r     | f46v     | f46r     | f45v     | f45r     | f44v     | f44r     | f43v     | f43r     | f42v     | f42r     | f41v     | f41r     | f40v     | f40r     | f39v     | f39r     | f38v    
93    | 1006167   | f48v     | f48r     | f47v     | f47r     | f46v     | f46r     | f45v     | f45r     | f44v     | f44r     | f43v     | f43r     | f42v     | f42r     | f41v     | f41r     | f40v     | f40r     | f39v     | f39r    
94    | 1006168   | f49r     | f48v     | f48r     | f47v     | f47r     | f46v     | f46r     | f45v     | f45r     | f44v     | f44r     | f43v     | f43r     | f42v     | f42r     | f41v     | f41r     | f40v     | f40r     | f39v    
95    | 1006169   | f49v     | f49r     | f48v     | f48r     | f47v     | f47r     | f46v     | f46r     | f45v     | f45r     | f44v     | f44r     | f43v     | f43r     | f42v     | f42r     | f41v     | f41r     | f40v     | f40r    
96    | 1006170   | f50r     | f49v     | f49r     | f48v     | f48r     | f47v     | f47r     | f46v     | f46r     | f45v     | f45r     | f44v     | f44r     | f43v     | f43r     | f42v     | f42r     | f41v     | f41r     | f40v    
97    | 1006171   | f50v     | f50r     | f49v     | f49r     | f48v     | f48r     | f47v     | f47r     | f46v     | f46r     | f45v     | f45r     | f44v     | f44r     | f43v     | f43r     | f42v     | f42r     | f41v     | f41r    
98    | 1006172   | f51r     | f50v     | f50r     | f49v     | f49r     | f48v     | f48r     | f47v     | f47r     | f46v     | f46r     | f45v     | f45r     | f44v     | f44r     | f43v     | f43r     | f42v     | f42r     | f41v    
99    | 1006173   | f51v     | f51r     | f50v     | f50r     | f49v     | f49r     | f48v     | f48r     | f47v     | f47r     | f46v     | f46r     | f45v     | f45r     | f44v     | f44r     | f43v     | f43r     | f42v     | f42r    
100   | 1006174   | f52r     | f51v     | f51r     | f50v     | f50r     | f49v     | f49r     | f48v     | f48r     | f47v     | f47r     | f46v     | f46r     | f45v     | f45r     | f44v     | f44r     | f43v     | f43r     | f42v    
101   | 1006175   | f52v     | f52r     | f51v     | f51r     | f50v     | f50r     | f49v     | f49r     | f48v     | f48r     | f47v     | f47r     | f46v     | f46r     | f45v     | f45r     | f44v     | f44r     | f43v     | f43r    
102   | 1006176   | f53r     | f52v     | f52r     | f51v     | f51r     | f50v     | f50r     | f49v     | f49r     | f48v     | f48r     | f47v     | f47r     | f46v     | f46r     | f45v     | f45r     | f44v     | f44r     | f43v    
103   | 1006177   | f53v     | f53r     | f52v     | f52r     | f51v     | f51r     | f50v     | f50r     | f49v     | f49r     | f48v     | f48r     | f47v     | f47r     | f46v     | f46r     | f45v     | f45r     | f44v     | f44r    
104   | 1006178   | f54r     | f53v     | f53r     | f52v     | f52r     | f51v     | f51r     | f50v     | f50r     | f49v     | f49r     | f48v     | f48r     | f47v     | f47r     | f46v     | f46r     | f45v     | f45r     | f44v    
105   | 1006179   | f54v     | f54r     | f53v     | f53r     | f52v     | f52r     | f51v     | f51r     | f50v     | f50r     | f49v     | f49r     | f48v     | f48r     | f47v     | f47r     | f46v     | f46r     | f45v     | f45r    
106   | 1006180   | f55r     | f54v     | f54r     | f53v     | f53r     | f52v     | f52r     | f51v     | f51r     | f50v     | f50r     | f49v     | f49r     | f48v     | f48r     | f47v     | f47r     | f46v     | f46r     | f45v    
107   | 1006181   | f55v     | f55r     | f54v     | f54r     | f53v     | f53r     | f52v     | f52r     | f51v     | f51r     | f50v     | f50r     | f49v     | f49r     | f48v     | f48r     | f47v     | f47r     | f46v     | f46r    
108   | 1006182   | f56r     | f55v     | f55r     | f54v     | f54r     | f53v     | f53r     | f52v     | f52r     | f51v     | f51r     | f50v     | f50r     | f49v     | f49r     | f48v     | f48r     | f47v     | f47r     | f46v    
109   | 1006183   | f56v     | f56r     | f55v     | f55r     | f54v     | f54r     | f53v     | f53r     | f52v     | f52r     | f51v     | f51r     | f50v     | f50r     | f49v     | f49r     | f48v     | f48r     | f47v     | f47r    
110   | 1006184   | f57r     | f56v     | f56r     | f55v     | f55r     | f54v     | f54r     | f53v     | f53r     | f52v     | f52r     | f51v     | f51r     | f50v     | f50r     | f49v     | f49r     | f48v     | f48r     | f47v    
111   | 1006185   | f57v     | f57r     | f56v     | f56r     | f55v     | f55r     | f54v     | f54r     | f53v     | f53r     | f52v     | f52r     | f51v     | f51r     | f50v     | f50r     | f49v     | f49r     | f48v     | f48r    
112   | 1006186   | f58r     | f57v     | f57r     | f56v     | f56r     | f55v     | f55r     | f54v     | f54r     | f53v     | f53r     | f52v     | f52r     | f51v     | f51r     | f50v     | f50r     | f49v     | f49r     | f48v    
113   | 1006187   | f58v     | f58r     | f57v     | f57r     | f56v     | f56r     | f55v     | f55r     | f54v     | f54r     | f53v     | f53r     | f52v     | f52r     | f51v     | f51r     | f50v     | f50r     | f49v     | f49r    
114   | 1006188   | f65r     | f58v     | f58r     | f57v     | f57r     | f56v     | f56r     | f55v     | f55r     | f54v     | f54r     | f53v     | f53r     | f52v     | f52r     | f51v     | f51r     | f50v     | f50r     | f49v    
115   | 1006189   | f65v     | f65r     | f58v     | f58r     | f57v     | f57r     | f56v     | f56r     | f55v     | f55r     | f54v     | f54r     | f53v     | f53r     | f52v     | f52r     | f51v     | f51r     | f50v     | f50r    
116   | 1006190   | f66r     | f65v     | f65r     | f58v     | f58r     | f57v     | f57r     | f56v     | f56r     | f55v     | f55r     | f54v     | f54r     | f53v     | f53r     | f52v     | f52r     | f51v     | f51r     | f50v    
